"url","title","artist","style","date"
"http://uploads4.wikiart.org/images/marsden-hartley/musical-theme-oriental-symphony-1913.jpg","Musical Theme (Oriental Symphony)","Marsden Hartley","abstract-art",1913
"http://uploads8.wikiart.org/images/jacoba-van-heemskerck/kleurstudie-1913.jpg","Kleurstudie","Jacoba van Heemskerck","abstract-art",1913
"http://uploads5.wikiart.org/images/marsden-hartley/painting-no-48-1913.jpg","Painting No. 48","Marsden Hartley","abstract-art",1913
"http://uploads3.wikiart.org/images/wassily-kandinsky/color-study-squares-with-concentric-circles-1913(1).jpg","Color Study: Squares with Concentric Circles","Wassily Kandinsky","abstract-art",1913
"http://uploads7.wikiart.org/images/auguste-herbin/untitled-1913.jpg","Untitled","Auguste Herbin","abstract-art",1913
"http://uploads4.wikiart.org/images/arthur-dove/sentimental-music-1913.jpg","Sentimental Music","Arthur Dove","abstract-art",1913
"http://uploads6.wikiart.org/images/david-bomberg/ju-jitsu-1913.jpg","Ju-Jitsu","David Bomberg","abstract-art",1913
"http://uploads1.wikiart.org/images/jacoba-van-heemskerck/baum-1913.jpg","Baum","Jacoba van Heemskerck","abstract-art",1913
"http://uploads1.wikiart.org/images/rudolf-bauer/sinfonie-xiii-1913.jpg","Sinfonie XIII","Rudolf Bauer","abstract-art",1913
"http://uploads7.wikiart.org/images/wassily-kandinsky/composition-vi-1913.jpg","Composition VI","Wassily Kandinsky","abstract-art",1913
"http://uploads8.wikiart.org/images/wassily-kandinsky/composition-vii-1913.jpg","Composition VII","Wassily Kandinsky","abstract-art",1913
"http://uploads4.wikiart.org/00142/images/57726d7dedc2cb3880b47cb0/vassily-kandinsky-1913-composition-7.jpg","Composition VII","Wassily Kandinsky","abstract-art",1913
"http://uploads8.wikiart.org/images/wassily-kandinsky/landscape-with-red-spots-1913.jpg","Landscape with red spots","Wassily Kandinsky","abstract-art",1913
"http://uploads7.wikiart.org/images/wassily-kandinsky/fugue-1914.jpg","Fugue","Wassily Kandinsky","abstract-art",1914
"http://uploads3.wikiart.org/images/wassily-kandinsky/improvisation-gorge-1914.jpg","Improvisation. Gorge","Wassily Kandinsky","abstract-art",1914
"http://uploads4.wikiart.org/images/theo-van-doesburg/girl-with-buttercups-1914.jpg","Girl with Buttercups","Theo van Doesburg","abstract-art",1914
"http://uploads8.wikiart.org/images/giacomo-balla/iridescent-interpenetration-no-13.jpg","Iridescent Interpenetration No.13","Giacomo Balla","abstract-art",1914
"http://uploads5.wikiart.org/images/giacomo-balla/iridescent-interpenetration-no-5-eucalyptus-1914.jpg","Iridescent Interpenetration No.5 - Eucalyptus","Giacomo Balla","abstract-art",1914
"http://uploads4.wikiart.org/images/amadeo-de-souza-cardoso/painting-deployment-intersection-1914.jpg","Painting (Deployment-intersection)","Amadeo de Souza-Cardoso","abstract-art",1914
"http://uploads1.wikiart.org/images/paul-klee/colour-shapes-1914(1).jpg","Colour Shapes","Paul Klee","abstract-art",1914
"http://uploads2.wikiart.org/images/francis-picabia/the-embarassment.jpg","The Embarassment","Francis Picabia","abstract-art",1914
"http://uploads7.wikiart.org/images/amadeo-de-souza-cardoso/untitled-1914.jpg","Untitled","Amadeo de Souza-Cardoso","abstract-art",1914
"http://uploads6.wikiart.org/images/amadeo-de-souza-cardoso/basque-landscape-1914.jpg","Basque Landscape","Amadeo de Souza-Cardoso","abstract-art",1914
"http://uploads1.wikiart.org/images/vanessa-bell/preliminary-design-for-lady-hamilton-rug-1914.jpg","Preliminary design for Lady Hamilton Rug","Vanessa Bell","abstract-art",1914
"http://uploads4.wikiart.org/images/paul-klee/hamamet-1914(1).jpg","Hamamet","Paul Klee","abstract-art",1914
"http://uploads0.wikiart.org/images/paul-klee/hammamet(1).jpg","Hammamet","Paul Klee","abstract-art",1914
"http://uploads7.wikiart.org/images/amadeo-de-souza-cardoso/painting-1914.jpg","Painting","Amadeo de Souza-Cardoso","abstract-art",1914
"http://uploads8.wikiart.org/images/jacoba-van-heemskerck/composition-1914.jpg","Composition","Jacoba van Heemskerck","abstract-art",1914
"http://uploads3.wikiart.org/images/jean-arp/geometric-forms.jpg","Geometric Forms","Jean Arp","abstract-art",1914
"http://uploads2.wikiart.org/images/marsden-hartley/abstraction-1914.jpg","Abstraction","Marsden Hartley","abstract-art",1914
"http://uploads8.wikiart.org/images/arthur-dove/cow-1914.jpg","Cow","Arthur Dove","abstract-art",1914
"http://uploads0.wikiart.org/images/david-bomberg/in-the-hold-1914.jpg","In the Hold","David Bomberg","abstract-art",1914
"http://uploads5.wikiart.org/images/vanessa-bell/abstract-painting-1914.jpg","Abstract Painting","Vanessa Bell","abstract-art",1914
"http://uploads6.wikiart.org/images/wassily-kandinsky/painting-with-red-spot-1914.jpg","Painting with red spot","Wassily Kandinsky","abstract-art",1914
"http://uploads1.wikiart.org/images/marsden-hartley/portrait-of-a-german-officer-1914.jpg","Portrait of a German Officer","Marsden Hartley","abstract-art",1914
"http://uploads5.wikiart.org/images/wassily-kandinsky/untitled.jpg","Untitled","Wassily Kandinsky","abstract-art",1915
"http://uploads6.wikiart.org/images/paul-klee/side-panels-for-anatomy-of-aphrodite-1915(1).jpg","Side Panels for 'Anatomy of Aphrodite'","Paul Klee","abstract-art",1915
"http://uploads0.wikiart.org/images/georgia-o-keeffe/special-no-32.jpg","Special No. 32","Georgia O'Keeffe","abstract-art",1915
"http://uploads2.wikiart.org/images/henri-matisse/the-yellow-curtain.jpg","The Yellow Curtain","Henri Matisse","abstract-art",1915
"http://uploads8.wikiart.org/images/jean-arp/abstract-composition.jpg","Abstract Composition","Jean Arp","abstract-art",1915
"http://uploads8.wikiart.org/images/theo-van-doesburg/abstract-church-1915.jpg","Abstract church","Theo van Doesburg","abstract-art",1915
"http://uploads4.wikiart.org/images/hilma-af-klint/altar-painting-1915.jpg","Altar Painting","Hilma af Klint","abstract-art",1915
"http://uploads8.wikiart.org/images/marsden-hartley/painting-number-5-1915.jpg","Painting, Number 5","Marsden Hartley","abstract-art",1915
"http://uploads5.wikiart.org/images/marsden-hartley/painting-no-50-1915.jpg","Painting No. 50","Marsden Hartley","abstract-art",1915
"http://uploads6.wikiart.org/images/edward-wadsworth/abstract-composition-1915(1).jpg","Abstract Composition","Edward Wadsworth","abstract-art",1915
